"","grid","cv.error","cv.se"
"1",0.449328964117222,0.25,0
"2",0.417810510782126,0.25,0
"3",0.38850293851629,0.249219591949506,0.000482674915009051
"4",0.361251163723115,0.233976091121136,0.00186897210021857
"5",0.335910981239162,0.216162452026036,0.000928017046578721
"6",0.312348301259844,0.200662124586064,0.000186847466953498
"7",0.290438439791429,0.187106164587627,0.000662687055672077
"8",0.270065458874722,0.174893661832039,0.00126396982147466
"9",0.251121553089153,0.163822351071066,0.0017934467802292
"10",0.233506479090913,0.153813860440287,0.00226651784413835
"11",0.217127025166485,0.144208345372274,0.00281521276410487
"12",0.201896517994655,0.135624376046666,0.00334245261649209
"13",0.18773436400702,0.127930831769636,0.00383394397741931
"14",0.174565622920021,0.12101856502654,0.0042874636381975
"15",0.162320611181848,0.114795707297788,0.00470472119637978
"16",0.150934533235792,0.109184126346041,0.00508870438058824
"17",0.14034713864886,0.104116753001703,0.00544271186486496
"18",0.130502403291305,0.0995355486953305,0.00576997286246802
"19",0.121348232880021,0.0954156319657141,0.00606141562578954
"20",0.112836187317057,0.091612898789525,0.00636967666143153
"21",0.10492122436458,0.0875706743043646,0.00661466074684213
"22",0.0975614612999104,0.0832491941176846,0.00678651361576989
"23",0.0907179532894125,0.0791457643540806,0.00699212751535375
"24",0.0843544873084797,0.0752067340459781,0.00714207793509796
"25",0.0784373905171307,0.0716945399098675,0.00728457398573767
"26",0.0729353520772141,0.068386422314953,0.00729224385433725
"27",0.0678192574683549,0.0653925456836273,0.00727877460261057
"28",0.0630620344259082,0.0626866421436571,0.00727544858139065
"29",0.05863850968569,0.0601836477573767,0.00727200659293347
"30",0.0545252757774352,0.0577721192794924,0.0072199475126853
"31",0.05070056716211,0.0553628529711571,0.0071726814968152
"32",0.0471441450576472,0.0530648823264202,0.00716333393285274
"33",0.0438371903436512,0.0508858400071697,0.0071322736389908
"34",0.0407622039783662,0.0488221911294257,0.00706828455752675
"35",0.0379029144009585,0.0469300295152942,0.00700925235239544
"36",0.0352441914291203,0.0452044725152506,0.00695945255919234
"37",0.0327719661963795,0.0436282721673082,0.00691789436322263
"38",0.030473156705455,0.0421862761075239,0.00688369582076205
"39",0.0283355986037179,0.0408651567652105,0.00685607279445512
"40",0.0263479808144487,0.0396531736283072,0.00683432819572803
