"","grid","DYRK1A_N","ITSN1_N","BDNF_N","NR1_N","NR2A_N","pAKT_N","pBRAF_N","pCAMKII_N","pCREB_N","pELK_N","pERK_N","pJNK_N","PKCA_N","pMEK_N","pNR1_N","pNR2A_N","pNR2B_N","pPKCAB_N","pRSK_N","AKT_N","BRAF_N","CAMKII_N","CREB_N","ELK_N","ERK_N","GSK3B_N","JNK_N","MEK_N","TRKA_N","RSK_N","APP_N","Bcatenin_N","SOD1_N","MTOR_N","P38_N","pMTOR_N","DSCR1_N","AMPKA_N","NR2B_N","pNUMB_N","RAPTOR_N","TIAM1_N","pP70S6_N","NUMB_N","P70S6_N","pGSK3B_N","pPKCG_N","CDK5_N","S6_N","ADARB1_N","AcetylH3K9_N","RRP1_N","BAX_N","ARC_N","ERBB4_N","nNOS_N","Tau_N","GFAP_N","GluR3_N","GluR4_N","IL1B_N","P3525_N","pCASP9_N","PSD95_N","SNCA_N","Ubiquitin_N","pGSK3B_Tyr216_N","SHH_N","pS6_N","pCFOS_N","SYP_N","CaNA_N","intercept"
"11",0.14821506633752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52753904885416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0.135335283236613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0234280883930688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601246172450022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0.123574744061614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0969818574974679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709433194318838,0,0,0,0,0,0,-0.0318103760555584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142840618114047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0.112836187317057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148883775319739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815764832516296,0,0,0,0,0,0,-0.0864267450872457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547319836957712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0.103030803461764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.197990152697713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.919198630255998,0,0,-0.00185394610046595,0,0,0,-0.136711675863904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924849700799625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0.0940775004400739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.245321135183446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01985108051407,0,0,-0.0134340754201744,0,0,0,-0.176916518133014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127225795219964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0.0859022330378763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.290696336530935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11851328954759,0,0,-0.0245472244893906,0,0,0,-0.215612145475842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160268737189241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0.0784373905171307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.334409694156479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21543718984795,0,0,-0.0351814515443977,0,0,0,-0.253112303511499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19184735078811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0.0716212374645035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.366584404547804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30984929616693,0,0,-0.0423271630104495,0,0,0,-0.29550997495581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222394870183938,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158219513955978,0,0
"20",0.0653974032298602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.386002778591209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39993617953878,0,0,-0.0473004933602489,0,0,0,-0.346838775133229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249772585347592,0,-0.0189885159832402,0,0,0,0,0,0,0,0,0,0,0,-0.0336254082237791,0,0
"21",0.0597144157321853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.404373812718462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48858938635725,0,0,-0.0517133687180003,0,0,0,-0.39784784870268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276088405974365,0,-0.0390945372142264,0,0,0,0,0,0,0,0,0,0,0,-0.0501290046953023,0,0
"22",0.0545252757774352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.422427077183291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5760873764476,0,0,-0.0556023798879547,0,0,0,-0.447993343654931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301633739976677,0,-0.0585882673796043,0,0,0,0,0,0,0,0,0,0,0,-0.06580963095849,0,0
"23",0.0497870683678639,0,0,-0.0632034212820297,0,0,0,0,0,0,0,0,0,0,0,-0.419313500474681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68047745109885,0,0,-0.0677257420809989,0,0,0,-0.471777075081272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322495939626572,0,-0.0855593178602287,0,0,0,0,0,0,0,0,0,0,0,-0.0652650911503042,0,0
"24",0.0454606077882905,0,0,-0.113461461171883,0,0,0,0,0,0,0,-0.00443008619697918,0,0,0,-0.405533918885762,0,0,0,0,0,0,0,0,0,-0.0231768002837613,0,0,0,0,0,1.78410730434705,0,0,-0.0929395370450633,0,0,0,-0.487910366230586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342562895915124,0,-0.111110151793453,0,0,0,0,0,0,0,0,0,0,0,-0.0630772647126614,0,0
"25",0.0415101135341151,0,0,-0.146561884597024,0,0,0,0,0,0,0,-0.0245817029109738,0,0,0,-0.392716615347461,0,0,0,0,0,0,0,0,0,-0.0487420658850909,0,0,0,0,0,1.88419651621595,0,0,-0.127398851616995,0,0,0,-0.501107797301717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363009397760837,0,-0.133757498857484,0,0,0,0,0,0,0,0,0,0,0,-0.065356967722977,0,0
"26",0.0379029144009585,0,0,-0.177610278521835,0,0,0,0,0,0,0,-0.0441237875392206,0,0,0,-0.380525706179904,0,0,0,0,0,0,0,0,0,-0.0739888906864512,0,0,0,0,0,1.98228933121908,0,0,-0.161179964195309,0,0,0,-0.514215559021932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383038446320642,0,-0.155727182441314,0,0,0,0,0,0,0,0,0,0,0,-0.0677393491755458,0,0
