"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"",10,-124.659176604878,0.708203523863441,0.303218876005908,0.0701906475407659,-0.231730973611461,-0.0388655103324847,-0.33574726210444,0.349583859877433,0.0946193765274516,0.181439050620418,-0.198806353850192,-0.0545153457346679,0.0849993456902652,-0.0366873702587538,-0.0396847701090827,0.0911081857342385,0.872339559192699,0.339344545642583,0.502430242859715,-0.547963747096678
"",11,-119.604495103125,0.743268077446687,0.318652209127403,0.0777056991750715,-0.243260349342553,-0.0417831614027751,-0.349707670979662,0.371130005936626,0.0986362731317357,0.189264354528136,-0.205513405198138,-0.0518931922899728,0.0864589643272752,-0.0418397894544929,-0.0458796523899666,0.0929704559350033,0.907804722153395,0.357302468097485,0.523211627426947,-0.566593538934528
"",12,-115.208896143681,0.775997751075457,0.33317557760915,0.0851285721691609,-0.253995893255044,-0.0446397032296667,-0.362470491234379,0.391798508532406,0.10233810272446,0.196420978609665,-0.211506791728819,-0.0487921502820189,0.0874392404978865,-0.0469875428415539,-0.0521560854104196,0.0944997699052793,0.940334874786802,0.374189834504674,0.542135118443406,-0.583126635885375
"",13,-111.34427054318,0.806693696515818,0.346904827827616,0.0924296602667392,-0.264031342340609,-0.0474367276996797,-0.374198890493302,0.411697020337956,0.105773768029887,0.20299884133371,-0.216911128060555,-0.0452997851059932,0.0880076238829261,-0.0521048933177351,-0.0584864524882189,0.0957688100435169,0.970383558731598,0.390129504788682,0.559464684388473,-0.597897184207906
"",14,-107.914224873504,0.835601522062058,0.359932654529763,0.099587514438132,-0.273443080267768,-0.0501756040646812,-0.38502427203057,0.430912232506797,0.108982395446595,0.209071327579196,-0.221825120186441,-0.0414863677247743,0.0882192993585398,-0.0571725160093707,-0.0648494294591915,0.0968338017079401,0.998310661536769,0.405221726222114,0.575413653653346,-0.611170972424681
"",15,-104.844785989688,0.862924421354958,0.372334565927891,0.10658699926467,-0.282294375790004,-0.0528576574285138,-0.395054304320516,0.449514933700178,0.111995693320012,0.214699244523659,-0.226327865312378,-0.037408976965895,0.0881199813424479,-0.0621759124554002,-0.0712282842920698,0.0977386628550621,1.02440605820867,0.419549770412344,0.590156780175555,-0.623162258879899
"",16,-102.07819896944,0.888832566882337,0.384173042405676,0.113417842607184,-0.290638377313245,-0.0554842426611847,-0.404378529656431,0.46756365746475,0.114839645829765,0.219933628676253,-0.230483393251468,-0.0331144760045615,0.0877479466769273,-0.0671042549685441,-0.0776096973613472,0.0985179876362487,1.0489063313591,0.4331838687642,0.603838918416602,-0.634045821945405
"",17,-99.5686806103856,0.913469994276422,0.395500503938804,0.120073507578656,-0.298520280820462,-0.0580567664731964,-0.413072376600063,0.485107361119095,0.117535755421479,0.224817786554712,-0.234344001282734,-0.0286417068753165,0.0871355452429478,-0.0719495340986373,-0.0839829296358802,0.0991992244636582,1.07200683911176,0.446184031540835,0.61658139236343,-0.643965751309021
"",18,-97.2794446785263,0.936959753159382,0.406361471787335,0.126550319566589,-0.305978933556865,-0.0605766851072208,-0.421200093371407,0.502187425528502,0.120101970787135,0.229388810905455,-0.237952743111755,-0.0240231330274233,0.0863103434310994,-0.0767059222103329,-0.0903392267660472,0.0998042879857954,1.09387058624244,0.458602114178316,0.628486758283809,-0.653041969953774
"",19,-95.180575258394,0.959407830894932,0.416794172744999,0.132846791697603,-0.313048043209848,-0.0630454918304421,-0.428816934891401,0.518839169567077,0.122553391042729,0.233678729514934,-0.241345313393056,-0.0192860861752552,0.0852960038281569,-0.0813692930672756,-0.0966713855126843,0.10035076697827,1.11463485422784,0.470483363399079,0.639642424709813,-0.66137514619482
"",20,-93.247478515026,0.980906188958684,0.426831749773395,0.138963103486376,-0.319757105219328,-0.0654647013857015,-0.435970822692396,0.535093011913056,0.124902807575515,0.237715391057992,-0.244551493004647,-0.0144537252460763,0.0841129716777698,-0.0859368554005963,-0.102973433536779,0.100852839672336,1.1344162312974,0.481867595709753,0.650123443941778,-0.669050444071446
