"","grid","radius_mean","texture_mean","smoothness_mean","compactness_mean","symmetry_mean","fractal_dimension_mean","radius_se","texture_se","smoothness_se","compactness_se","concavity_se","concave.points_se","symmetry_se","fractal_dimension_se","smoothness_worst","concave.points_worst","symmetry_worst","fractal_dimension_worst","the intercept"
"1",0.449328964117222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.417810510782126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.38850293851629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.361251163723115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0886769098771601,0,0,0
"5",0.335910981239162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191490829731541,0,0,0
"6",0.312348301259844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289294645933818,0,0,0
"7",0.290438439791429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383207501077183,0,0,0
"8",0.270065458874722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474066967660417,0,0,0
"9",0.251121553089153,0.0315133990950498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539145503837783,0,0,0
"10",0.233506479090913,0.0788964819782514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590861205761268,0,0,0
"11",0.217127025166485,0.126105674466207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641610032986133,0,0,0
"12",0.201896517994655,0.173402464945352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.691536661217503,0,0,0
"13",0.18773436400702,0.220971843924862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740764376087102,0,0,0
"14",0.174565622920021,0.268942365334517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789399476930267,0,0,0
"15",0.162320611181848,0.31740090740772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83753425786165,0,0,0
"16",0.150934533235792,0.366403243877409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885249231917656,0,0,0
"17",0.14034713864886,0.415981849027627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932614632708637,0,0,0
"18",0.130502403291305,0.466151646238242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979691445369193,0,0,0
"19",0.121348232880021,0.516914166502999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02653217147112,0,0,0
"20",0.112836187317057,0.568260634313918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07318135627811,0,0,0
"21",0.10492122436458,0.617345898404099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11888222942684,0,0,-0.0141371638093634
"22",0.0975614612999104,0.644550263147759,0.0174585906278924,0,0,0,0,0.0282311433802594,0,0,0,0,0,0,0,0,1.15675158065684,0,0,-0.0457353593004053
"23",0.0907179532894125,0.668046575103362,0.0443515520847574,0,0,0,0,0.0601180817673271,0,0,0,0,0,0,0,0,1.1930872189356,0,0,-0.0751203321137314
"24",0.0843544873084797,0.692148203472999,0.0708727523310004,0,0,0,0,0.0920843770260794,0,0,0,0,0,0,0,0,1.22996456774398,0,0,-0.103091665721551
"25",0.0784373905171307,0.716848111491874,0.0971147472831511,0,0,0,0,0.124079222246602,0,0,0,0,0,0,0,0,1.26743430640036,0,0,-0.129785915127934
"26",0.0729353520772141,0.742142504725638,0.123152968452738,0,0,0,0,0.156064505368184,0,0,0,0,0,0,0,0,1.3055369425425,0,0,-0.155325057708259
"27",0.0678192574683549,0.76803005607321,0.149048420357816,0,0,0,0,0.188013643333206,0,0,0,0,0,0,0,0,1.34430435613881,0,0,-0.179818198231067
"28",0.0630620344259082,0.794511094540603,0.17485011798703,0,0,0,0,0.219909238733125,0,0,0,0,0,0,0,0,1.3837615099542,0,0,-0.203363241446766
"29",0.05863850968569,0.821586882345244,0.200597195944766,0,0,0,0,0.251740547291747,0,0,0,0,0,0,0,0,1.42392794127725,0,0,-0.226048422739955
"30",0.0545252757774352,0.852899347545366,0.226144810631008,0,0,0,0,0.284784247537945,0,0,0,0,0,0,0,0,1.4552924440716,0.0111332985287705,0,-0.247388130787252
"31",0.05070056716211,0.891849839498773,0.251461142199401,0,0,0,0,0.319305031468177,0,0,0,0,0,0,0,0.0034377384426781,1.47126946632752,0.0369353238090447,0,-0.26699590441814
"32",0.0471441450576472,0.946080070998451,0.276786191928008,0,0,0,0,0.352165379899251,0,0,0,0,0,0,0,0.0309308905946359,1.46599523392939,0.0587518740891396,0,-0.28458797138693
